id;name;street_address;latitude;longitude;phone;email;website;facebook;slug;opening_hours_monday;opening_hours_tuesday;opening_hours_wednesday;opening_hours_thursday;opening_hours_friday;opening_hours_saturday;opening_hours_sunday;opening_hours_description;happy_hours_monday;happy_hours_tuesday;happy_hours_wednesday;happy_hours_thursday;happy_hours_friday;happy_hours_saturday;happy_hours_sunday;happy_hours_description;is_published;is_closed;created_at;updated_at;has_free_wifi;has_air_conditioning;has_television;has_darts;has_foosball;has_pinball;has_pool;has_terrace;has_handicap_access;city_id;postal_code;has_food;offers_description;has_dog_policy;has_board_games;has_live_music;has_dj_set;instagram;description;offers_slogan;capacity_inside;capacity_outside;is_claimed;has_offers;has_take_away;premium_hours_monday;premium_hours_tuesday;premium_hours_wednesday;premium_hours_thursday;premium_hours_friday;premium_hours_saturday;premium_hours_sunday;public_transports_updated_at;secret_key
13;Elastic Bar;27 Rue des Orphelins;48,579761;7,756261;33623756314;barelastic@gmail.com;NULL;https://www.facebook.com/barelastic;elastic-bar;17:00/04:00;17:00/04:00;17:00/04:00;17:00/04:00;17:00/04:00;17:00/04:00;17:00/04:00;NULL;17:00/23:00;17:00/23:00;17:00/23:00;17:00/23:00;17:00/23:00;17:00/22:00;17:00/22:00;NULL;1;0;02/09/2018 22:06;15/03/2022 18:58;1;1;1;1;0;0;0;1;0;1;67000;0;Offre valable du dimanche au jeudi jusqu'à 4h du matin.;0;1;1;1;NULL;"?? Fermé pour cause de restrictions??
Bienvenue à l'Elastic Bar, un des bars le plus éclectique de notre sublime ville !
Dans ce bar alternatif du quartier étudiant de la Krutenau, on vient découvrir de nouveaux sons au travers des concerts et des DJ set régulier,s ??.
L'Elastic Bar c'est de l'underground mais pas que !
Retrouvez-vous entre amis autour d'une bonne bière, d'un cocktail ou d'un soft et profitez des divertissements à disposition : beer pong, fléchettes, jeux de cartes, échecs shots...
Ce qu'on adore ce sont aussi les afters qui n'en finissent pas où tout le monde y trouve son bonheur ??
Louise, Basyen et Nicolas seront là pour vous donner le sourire !";Happy spécial en semaine;NULL;NULL;1;0;1;17:00/04:00;17:00/04:00;17:00/04:00;17:00/04:00;NULL;NULL;17:00/04:00;15/03/2022 18:58;cb4beaa396d13fa6f11f1d13eae57626
14;Jeannette et les Cycleux;30 Rue des Tonneliers;48,580744;7,748759;33388230271;NULL;NULL;https://www.facebook.com/Jeannette.et.les.Cycleux;jeannette-et-les-cycleux;11:30/01:30;11:30/01:30;11:30/01:30;11:30/01:30;11:30/02:30;11:30/02:30;11:30/01:30;NULL;17:00/20:00;17:00/20:00;17:00/20:00;17:00/20:00;17:00/20:00;17:00/20:00;17:00/20:00;NULL;1;0;02/09/2018 22:06;15/03/2022 18:58;1;1;0;0;0;0;0;1;1;1;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;15/03/2022 18:58;dc0ed062fa650c9b252562ea9bccd820
15;L'Atelier D'Grand Père;11 Rue Sainte-Barbe;48,582053;7,745567;33388222430;NULL;http://www.resto-latelierdgrandpere.com/;https://www.facebook.com/LAtelier-dGrand-Père-569013833193053;latelier-dgrand-pere;11:00/01:00;11:00/01:00;11:00/01:00;11:00/01:00;11:00/01:00;11:00/01:00;11:00/01:00;NULL;17:30/20:00;17:30/20:00;17:30/20:00;17:30/20:00;17:30/20:00;17:30/20:00;17:30/20:00;NULL;1;1;02/09/2018 22:06;15/03/2022 18:58;NULL;0;0;0;0;0;0;1;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;15/03/2022 18:58;e67620e15cd92e5f4d7bb82914790dff
16;L'Abstract;4 Quai des Pêcheurs;48,582428;7,757433;33367074886;NULL;NULL;https://www.facebook.com/abstractbar;labstract;18:00/04:00;18:00/04:00;18:00/04:00;18:00/04:00;18:00/04:00;18:00/04:00;NULL;NULL;18:00/21:00;18:00/21:00;18:00/21:00;18:00/21:00;18:00/21:00;NULL;NULL;NULL;1;1;02/09/2018 22:06;15/03/2022 18:58;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;15/03/2022 18:58;fe68117504ee7cc116cc4a320eb095d1
17;La Cahute;3 Rue Saint-Guillaume;48,58233;7,757405;33388360509;;;https://www.facebook.com/pages/La-Cahute/153934138001818;la-cahute;17:00/01:30;17:00/01:30;17:00/04:00;17:00/04:00;17:00/04:00;;;NULL;17:00/20:00;17:00/20:00;17:00/20:00;17:00/20:00;17:00/20:00;;;NULL;1;0;02/09/2018 22:06;15/03/2022 18:58;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;15/03/2022 18:58;bbbe43a7cee4dc9d2e7c22fed22fbd1b
18;La Lanterne;5 Rue de la Lanterne;48,581524;7,747172;33388321010;NULL;NULL;https://www.facebook.com/La-Lanterne-16225856439;la-lanterne;16:00/01:30;11:00/01:30;11:00/01:30;11:00/01:30;11:00/01:30;11:00/01:30;16:00/01:30;NULL;16:00/19:00;16:00/19:00;16:00/01:00;16:00/19:00;16:00/19:00;NULL;NULL;NULL;1;0;02/09/2018 22:06;15/03/2022 18:58;1;1;1;0;1;0;0;1;0;1;67000;1;Offres valables tous les jours à toute heure.;1;1;1;NULL;https://www.instagram.com/la_lanterne_strasbourg/;"La Lanterne est clairement un bar emblématique de Strasbourg et a plus de 20 ans ! Il a d'ailleurs récemment été refait à neuf et l'ambiance y est vraiment chaleureuse et typique d'un bon bar à bières. 
À l'intérieur, tu peux y voir les fûts dans lesquels sont servies les bières faites maison du bar. Tu pourras aussi y grignoter quelques spécialités en accompagnement. 
La Lanterne est en plein cœur du centre ville et vaut vraiment le coup d'être testée sans attendre, en plus, les tarifs sont abordables !";Happy Hour tout le temps;NULL;NULL;1;1;NULL;16:00/01:30;11:00/01:30;11:00/01:30;11:00/01:30;11:00/01:30;11:00/01:30;16:00/01:30;15/03/2022 18:58;12f4b0a5fb989ac0f92c84b0db329a3d
19;Le Phonographe;2 Rue de l'arc-en-ciel;48,583603;7,754789;33388222186;NULL;NULL;https://www.facebook.com/pages/Le-Phonographe/176687722370285;le-phonographe;18:00/01:30;18:00/01:30;18:00/01:30;18:00/04:00;18:00/04:00;18:00/04:00;18:00/01:30;NULL;18:00/21:00;18:00/21:00;18:00/21:00;18:00/21:00;18:00/21:00;18:00/21:00;18:00/21:00;NULL;1;1;02/09/2018 22:06;15/03/2022 18:58;NULL;NULL;NULL;0;0;0;0;NULL;NULL;1;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;15/03/2022 18:58;3f504477cb3ff062b7d0cb2e23496734
20;La Taverne Française;12 Avenue de la Marseillaise;48,585335;7,755969;33388245789;NULL;NULL;https://www.facebook.com/La-Taverne-Française-130296817020472;la-taverne-francaise;08:30/01:00;08:30/01:00;08:30/01:00;08:30/01:00;08:30/03:00;14:00/03:00;NULL;NULL;NULL;18:00/21:00;18:00/21:00;NULL;NULL;NULL;NULL;NULL;1;0;02/09/2018 22:06;15/03/2022 18:58;1;NULL;0;0;0;0;0;1;1;1;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;15/03/2022 18:58;ba2b69fe0f471968aa5b9f57f6921da9
21;Le Cintra;11 Place des Étudiants;48,584105;7,748063;33388324216;NULL;NULL;https://www.facebook.com/pages/Bar-Le-Cintra/310410719116620;le-cintra;07:00/02:00;07:00/02:00;07:00/02:00;07:00/02:00;07:00/02:00;07:00/02:00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;02/09/2018 22:06;15/03/2022 18:58;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;15/03/2022 18:58;ce12c50fac7c85fd36b6a9d864179912
22;Le Croque Bedaine Cathédrale;3 Rue du Puits;48,58012111;7,74675283;33953136896;lecroquebedaine@gmail.com;http://www.lecroquebedaine.fr/;https://www.facebook.com/LeCroqueBedaine;le-croque-bedaine-cathedrale;17:00/01:00;17:00/01:00;17:00/01:00;17:00/01:00;17:00/01:00;17:00/01:00;NULL;NULL;17:00/20:30;17:00/20:30;17:00/20:30;17:00/20:30;17:00/20:30;17:00/20:30;NULL;NULL;1;1;02/09/2018 22:06;15/03/2022 18:58;NULL;NULL;NULL;NULL;0;0;0;NULL;NULL;1;NULL;1;Offres valables du mardi au jeudi à toute heure.;NULL;NULL;NULL;NULL;NULL;"Le Croque Bedaine est évidemment connu pour ses croque-monsieurs de l'espace ! Ils sont vraiment trop bons, pas chers et originaux.
Mais le Croque Bedaine, c'est aussi un authentique bar à bières. 
Tu vas au Croque quand tu as un petit creux de croque et une bonne soif ! 
Le concept marche tellement bien qu'ils ont créé une franchise qui dépasse les frontières alsaciennes. 
Alors, tu vas croquer ?";Jusqu'à -5,40€ sur les formules;NULL;NULL;1;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;15/03/2022 18:58;1f3415e8bd1161b93ab4bc5d0461f8ad
23;Le Grincheux;27 Rue du Vieux Marché aux Vins;48,584105;7,742416;33388169416;barlegrincheux@gmail.com;NULL;https://www.facebook.com/barlegrincheux;le-grincheux;16:30/01:30;16:30/01:30;16:30/04:00;16:30/04:00;16:30/04:00;16:30/04:00;17:00/01:30;NULL;16:30/20:30;16:30/20:30;16:30/20:30;16:30/20:30;16:30/20:30;16:30/20:30;17:00/20:30;NULL;1;0;02/09/2018 22:06;15/03/2022 18:58;1;1;0;0;0;0;0;1;0;1;NULL;0;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;15/03/2022 18:58;1ed5395621cbad9659221d8989e879d1
24;Le Rafiot;Quai des Pêcheurs;48,583564;7,758082;33388363616;NULL;http://www.rafiot.net/;https://www.facebook.com/barclublerafiot;le-rafiot;NULL;NULL;NULL;NULL;NULL;14:00/03:00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;02/09/2018 22:06;15/03/2022 18:58;NULL;NULL;1;0;0;0;0;1;NULL;1;67000;1;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;15/03/2022 18:58;d1c55641f4d6c199fbbaba04edb7aac5
25;Le Raven Café;5 Place du Corbeau;48,579138;7,750979;33388364935;NULL;http://www.caferaven.com/;https://www.facebook.com/CAFERAVEN;le-raven-cafe;07:00/01:30;07:00/01:30;07:00/01:30;07:00/01:30;07:00/02:30;07:00/02:30;07:00/01:30;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;02/09/2018 22:06;15/03/2022 18:58;1;NULL;NULL;NULL;NULL;NULL;NULL;1;1;1;67000;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;15/03/2022 18:58;075c8942e72bddf7547554d62f81f871
26;Le Schluch;3 Rue de l'Outre;48,58374;7,747509;33388324568;NULL;NULL;https://www.facebook.com/Bierstub-le-Schluch-155078201190909;le-schluch;10:00/20:00;10:00/01:30;10:00/01:30;10:00/01:30;10:00/02:00;10:00/02:00;15:00/00:00;NULL;NULL;NULL;18:00/23:00;NULL;NULL;NULL;NULL;NULL;1;0;02/09/2018 22:06;13/01/2022 15:34;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;1;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;13/01/2022 15:34;f030b42a6e3df411d4948a8daa706a9d
27;Le Terminal;6 Place St Nicolas Aux Ondes;48,58130439;7,76171203;33388169719;NULL;NULL;https://www.facebook.com/barleterminal/;le-terminal;16:00/01:30;16:00/01:30;16:00/01:30;16:00/04:00;16:00/04:00;16:00/04:00;NULL;NULL;16:00/21:00;16:00/21:00;16:00/21:00;16:00/21:00;16:00/21:00;16:00/21:00;NULL;NULL;1;0;02/09/2018 22:06;21/02/2022 08:57;NULL;NULL;0;0;1;0;0;1;1;1;67000;1;Offres valables du lundi au jeudi toute la soirée.;NULL;NULL;NULL;1;NULL;"Le Terminal est un bar fréquenté par de nombreux habitués qui travaillent dans le quartier de la Krutenau mais aussi des étudiants car le campus central est à deux pas.
Tu pourras y déguster un large choix de bières avec un happy hour aux horaires assez souples mais aussi des planchettes sympathiques. 
Tous les jeudis, c'est apéro mix avec DJ et le living room (c'est le même propriétaire) n'est pas loin pour continuer la soirée.";Happy Hour illimité en semaine;NULL;NULL;1;0;NULL;16:00/01:30;16:00/01:30;16:00/01:30;16:00/01:30;NULL;NULL;NULL;14/02/2022 09:04;758b1eb5adab3cefc4c91dc955400533
28;Le Zouave;3 Place Saint-Nicolas aux Ondes;48,581145;7,762533;33388352141;NULL;NULL;https://www.facebook.com/pages/Au-Zouave/164862130196032;le-zouave;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;16:00/20:00;16:00/20:00;16:00/20:00;16:00/20:00;16:00/20:00;NULL;NULL;NULL;1;1;02/09/2018 22:06;13/01/2022 15:34;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;13/01/2022 15:34;5755756c39df0dcf98d85739433f1516
29;Les Berthom;18 Rue des Tonneliers;48,580204;7,749227;33388328118;NULL;http://www.lesberthom.com/;https://www.facebook.com/pages/Les-Berthom/166412036706061;les-berthom;17:00/00:00;17:00/01:30;17:00/01:30;17:00/01:30;17:00/02:30;15:00/02:30;17:00/00:00;NULL;17:00/20:30;17:00/20:30;17:00/20:30;17:00/20:30;17:00/20:30;NULL;17:00/20:30;NULL;1;0;02/09/2018 22:06;11/02/2022 17:00;0;0;0;0;0;0;0;1;1;1;NULL;1;NULL;1;0;1;0;NULL;NULL;NULL;NULL;NULL;1;0;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;13/01/2022 15:34;fa8c04ac977d8ea05cf646f9565345c1
30;Mac Carthy;6 Rue des Glacières;48,578861;7,739684;33388362852;NULL;http://www.pub-maccarthy.fr/;https://www.facebook.com/Pubmaccarthy;mac-carthy;NULL;11:30/14:30-17:00/01:30;11:30/14:30-17:00/01:30;11:30/14:30-17:00/01:30;11:30/14:30-17:00/01:30;17:00/01:30;16:00/00:00;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;0;02/09/2018 22:06;13/01/2022 15:34;NULL;NULL;1;0;0;0;0;1;1;1;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;13/01/2022 15:34;71e3a4081aad983670c0548daca367be
31;Meltdown;10 Rue des Glacières;48,577887;7,741084;33388224847;NULL;http://www.meltdown.bar/strasbourg;https://www.facebook.com/meltdownstrasbourg;meltdown;NULL;NULL;18:00/01:00;18:00/01:00;18:00/01:00;18:00/01:00;16:00/22:00;NULL;NULL;NULL;18:00/20:00;18:00/20:00;18:00/20:00;18:00/20:00;18:00/20:00;NULL;1;0;02/09/2018 22:06;13/01/2022 15:34;1;0;0;0;0;0;0;0;0;1;NULL;1;Offres valables tous les jours à toute heure.;NULL;NULL;NULL;NULL;NULL;"Le Meltdown est LA franchise de bars e-sport à ne pas manquer ! 
Le lieu est pensé pour les amateurs de gaming et tu pourras y jouer et y profiter de live stream. 
En plus de ça, le Meltdown propose d'excellents cocktails ! 
Pour découvrir un nouvel univers ou pour les passionnés, le Meltdown est l'endroit parfait.";Happy Hour tout le temps;50;0;1;1;NULL;NULL;18:00/01:00;18:00/01:00;18:00/01:00;18:00/01:00;18:00/01:00;NULL;13/01/2022 15:34;2c7c4074d354c474e752e655e1c8cd06
32;Molly Malones;1 Place d'Austerlitz;48,578316;7,753381;33388529426;mollymalone67000@gmail.com;NULL;https://www.facebook.com/pubmollystrasbourg;molly-malones;11:00/01:30;11:00/01:30;11:00/01:30;11:00/01:30;11:00/01:30;11:00/01:30;NULL;NULL;18:30/20:00;18:30/20:00;18:30/20:00;18:30/20:00;18:30/20:00;NULL;NULL;NULL;1;0;02/09/2018 22:06;01/03/2022 10:55;NULL;1;1;NULL;0;0;0;1;NULL;1;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;01/03/2022 10:34;288590e49bbc5a5cf2c220d897a6d98c
33;Mémé dans les orties;14 Rue Munch;48,581683;7,757105;33388371617;pousser@meme-dans-les-orties.fr;NULL;https://www.facebook.com/Mémé-Dans-Les-Orties-426549454123758;meme-dans-les-orties;11:00/01:00;11:00/01:00;11:00/01:00;11:00/01:00;11:00/01:00;11:00/01:00;11:00/01:00;NULL;17:30/20:00;17:30/20:00;17:30/20:00;17:30/20:00;17:30/20:00;17:30/20:00;17:30/20:00;NULL;1;1;02/09/2018 22:06;13/01/2022 15:34;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;13/01/2022 15:34;c7b5635a691a6859f4483d8b71836a0f
34;OBrien;6 Place Saint-Nicolas aux Ondes;48,581289;7,761846;33388218487;NULL;NULL;https://www.facebook.com/strasbourgobrien;obrien;11:30/01:30;11:30/01:30;11:30/01:30;11:30/01:30;11:30/01:30;14:00/01:00;14:00/01:00;NULL;17:00/20:00;17:00/20:00;17:00/20:00;17:00/20:00;17:00/20:00;NULL;NULL;NULL;1;0;02/09/2018 22:06;01/03/2022 10:21;NULL;NULL;1;NULL;NULL;NULL;0;1;NULL;1;NULL;1;NULL;NULL;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;01/03/2022 10:13;79af707a9ff451817212a8bcdd868d86
